date,year,quarter,month,month_name,month_year,week_number,day,day_name,is_weekend,is_festive_season
2022-01-01,2022,Q1,1,Jan,Jan-2022,52,1,Saturday,1,0
2022-01-02,2022,Q1,1,Jan,Jan-2022,52,2,Sunday,1,0
2022-01-03,2022,Q1,1,Jan,Jan-2022,1,3,Monday,0,0
2022-01-04,2022,Q1,1,Jan,Jan-2022,1,4,Tuesday,0,0
2022-01-05,2022,Q1,1,Jan,Jan-2022,1,5,Wednesday,0,0
2022-01-06,2022,Q1,1,Jan,Jan-2022,1,6,Thursday,0,0
2022-01-07,2022,Q1,1,Jan,Jan-2022,1,7,Friday,0,0
2022-01-08,2022,Q1,1,Jan,Jan-2022,1,8,Saturday,1,0
2022-01-09,2022,Q1,1,Jan,Jan-2022,1,9,Sunday,1,0
2022-01-10,2022,Q1,1,Jan,Jan-2022,2,10,Monday,0,0
2022-01-11,2022,Q1,1,Jan,Jan-2022,2,11,Tuesday,0,0
2022-01-12,2022,Q1,1,Jan,Jan-2022,2,12,Wednesday,0,0
2022-01-13,2022,Q1,1,Jan,Jan-2022,2,13,Thursday,0,0
2022-01-14,2022,Q1,1,Jan,Jan-2022,2,14,Friday,0,0
2022-01-15,2022,Q1,1,Jan,Jan-2022,2,15,Saturday,1,0
2022-01-16,2022,Q1,1,Jan,Jan-2022,2,16,Sunday,1,0
2022-01-17,2022,Q1,1,Jan,Jan-2022,3,17,Monday,0,0
2022-01-18,2022,Q1,1,Jan,Jan-2022,3,18,Tuesday,0,0
2022-01-19,2022,Q1,1,Jan,Jan-2022,3,19,Wednesday,0,0
2022-01-20,2022,Q1,1,Jan,Jan-2022,3,20,Thursday,0,0
2022-01-21,2022,Q1,1,Jan,Jan-2022,3,21,Friday,0,0
2022-01-22,2022,Q1,1,Jan,Jan-2022,3,22,Saturday,1,0
2022-01-23,2022,Q1,1,Jan,Jan-2022,3,23,Sunday,1,0
2022-01-24,2022,Q1,1,Jan,Jan-2022,4,24,Monday,0,0
2022-01-25,2022,Q1,1,Jan,Jan-2022,4,25,Tuesday,0,0
2022-01-26,2022,Q1,1,Jan,Jan-2022,4,26,Wednesday,0,0
2022-01-27,2022,Q1,1,Jan,Jan-2022,4,27,Thursday,0,0
2022-01-28,2022,Q1,1,Jan,Jan-2022,4,28,Friday,0,0
2022-01-29,2022,Q1,1,Jan,Jan-2022,4,29,Saturday,1,0
2022-01-30,2022,Q1,1,Jan,Jan-2022,4,30,Sunday,1,0
2022-01-31,2022,Q1,1,Jan,Jan-2022,5,31,Monday,0,0
2022-02-01,2022,Q1,2,Feb,Feb-2022,5,1,Tuesday,0,0
2022-02-02,2022,Q1,2,Feb,Feb-2022,5,2,Wednesday,0,0
2022-02-03,2022,Q1,2,Feb,Feb-2022,5,3,Thursday,0,0
2022-02-04,2022,Q1,2,Feb,Feb-2022,5,4,Friday,0,0
2022-02-05,2022,Q1,2,Feb,Feb-2022,5,5,Saturday,1,0
2022-02-06,2022,Q1,2,Feb,Feb-2022,5,6,Sunday,1,0
2022-02-07,2022,Q1,2,Feb,Feb-2022,6,7,Monday,0,0
2022-02-08,2022,Q1,2,Feb,Feb-2022,6,8,Tuesday,0,0
2022-02-09,2022,Q1,2,Feb,Feb-2022,6,9,Wednesday,0,0
2022-02-10,2022,Q1,2,Feb,Feb-2022,6,10,Thursday,0,0
2022-02-11,2022,Q1,2,Feb,Feb-2022,6,11,Friday,0,0
2022-02-12,2022,Q1,2,Feb,Feb-2022,6,12,Saturday,1,0
2022-02-13,2022,Q1,2,Feb,Feb-2022,6,13,Sunday,1,0
2022-02-14,2022,Q1,2,Feb,Feb-2022,7,14,Monday,0,0
2022-02-15,2022,Q1,2,Feb,Feb-2022,7,15,Tuesday,0,0
2022-02-16,2022,Q1,2,Feb,Feb-2022,7,16,Wednesday,0,0
2022-02-17,2022,Q1,2,Feb,Feb-2022,7,17,Thursday,0,0
2022-02-18,2022,Q1,2,Feb,Feb-2022,7,18,Friday,0,0
2022-02-19,2022,Q1,2,Feb,Feb-2022,7,19,Saturday,1,0
2022-02-20,2022,Q1,2,Feb,Feb-2022,7,20,Sunday,1,0
2022-02-21,2022,Q1,2,Feb,Feb-2022,8,21,Monday,0,0
2022-02-22,2022,Q1,2,Feb,Feb-2022,8,22,Tuesday,0,0
