movement_date,store_id,sku_id,supplier_id,quantity_received
2022-01-01,1,250,6,62
2022-01-01,1,57,11,45
2022-01-01,1,29,11,136
2022-01-01,1,165,12,79
2022-01-01,1,41,8,87
2022-01-01,1,71,5,84
2022-01-01,1,267,3,106
2022-01-01,1,74,9,74
2022-01-01,1,269,7,81
2022-01-01,1,123,8,121
2022-01-01,1,241,1,31
2022-01-01,1,107,14,40
2022-01-01,1,94,12,126
2022-01-01,1,61,2,149
2022-01-01,1,106,9,69
2022-01-01,1,112,10,40
2022-01-01,1,88,5,112
2022-01-01,1,181,2,136
2022-01-01,2,157,10,55
2022-01-01,2,64,11,60
2022-01-01,2,84,2,143
2022-01-01,2,230,4,64
2022-01-01,2,148,10,47
2022-01-01,2,164,4,112
2022-01-01,2,266,1,149
2022-01-01,2,45,5,147
2022-01-01,2,11,15,49
2022-01-01,2,168,9,59
2022-01-01,2,153,10,145
2022-01-01,2,115,15,117
2022-01-01,2,156,1,60
2022-01-01,2,151,9,100
2022-01-01,2,65,13,86
2022-01-01,2,226,4,71
2022-01-01,2,166,7,74
2022-01-01,2,83,3,74
2022-01-01,3,50,5,149
2022-01-01,3,287,9,148
2022-01-01,3,247,11,135
2022-01-01,3,297,7,33
2022-01-01,3,206,3,41
2022-01-01,3,1,3,136
2022-01-01,3,31,8,104
2022-01-01,3,244,12,142
2022-01-01,3,203,7,24
2022-01-01,3,130,1,86
2022-01-01,3,147,15,29
2022-01-01,3,91,11,118
2022-01-01,3,269,7,118
2022-01-01,3,145,10,32
2022-01-01,3,299,3,70
2022-01-01,3,187,5,32
2022-01-01,3,209,13,57
2022-01-01,3,6,14,91
2022-01-01,4,207,10,35
2022-01-01,4,112,10,56
2022-01-01,4,188,15,40
2022-01-01,4,278,13,94
2022-01-01,4,61,2,39
2022-01-01,4,44,12,135
2022-01-01,4,200,9,51
2022-01-01,4,4,1,46
2022-01-01,4,9,9,137
2022-01-01,4,249,8,102
2022-01-01,4,114,13,129
2022-01-01,4,269,7,36
2022-01-01,4,13,12,94
2022-01-01,4,33,14,87
2022-01-01,4,289,12,127
2022-01-01,4,134,10,121
2022-01-01,4,270,14,95
2022-01-01,4,224,13,26
2022-01-01,5,26,12,115
2022-01-01,5,146,9,36
2022-01-01,5,101,2,55
2022-01-01,5,176,5,128
2022-01-01,5,24,1,145
2022-01-01,5,249,8,106
2022-01-01,5,40,10,125
2022-01-01,5,221,6,35
2022-01-01,5,276,4,65
2022-01-01,5,210,7,141
2022-01-01,5,180,12,120
2022-01-01,5,190,12,96
2022-01-01,5,93,15,106
2022-01-01,5,6,14,93
2022-01-01,5,68,11,128
2022-01-01,5,202,3,84
2022-01-01,5,14,10,66
2022-01-01,5,100,2,52
2022-01-01,6,150,10,124
2022-01-01,6,152,13,113
2022-01-01,6,269,7,35
2022-01-01,6,258,3,56
2022-01-01,6,87,4,128
2022-01-01,6,220,10,88
2022-01-01,6,39,5,118
2022-01-01,6,1,3,37
2022-01-01,6,286,14,45
2022-01-01,6,91,11,57
2022-01-01,6,69,7,80
2022-01-01,6,63,11,57
2022-01-01,6,164,4,124
2022-01-01,6,278,13,62
2022-01-01,6,260,6,141
2022-01-01,6,135,15,123
2022-01-01,6,276,4,93
2022-01-01,6,128,7,58
2022-01-01,7,269,7,55
2022-01-01,7,142,6,81
2022-01-01,7,94,12,54
2022-01-01,7,11,15,97
2022-01-01,7,144,9,110
2022-01-01,7,130,1,23
2022-01-01,7,218,3,132
2022-01-01,7,143,12,109
2022-01-01,7,125,4,81
2022-01-01,7,263,12,144
2022-01-01,7,135,15,58
2022-01-01,7,171,4,60
2022-01-01,7,248,5,124
2022-01-01,7,200,9,87
2022-01-01,7,26,12,34
2022-01-01,7,230,4,112
2022-01-01,7,237,9,103
2022-01-01,7,161,2,94
2022-01-01,8,210,7,81
2022-01-01,8,154,8,94
2022-01-01,8,64,11,81
2022-01-01,8,279,13,42
2022-01-01,8,20,13,116
2022-01-01,8,90,14,22
2022-01-01,8,40,10,149
2022-01-01,8,175,2,96
2022-01-01,8,191,7,76
2022-01-01,8,239,4,36
2022-01-01,8,131,12,42
2022-01-01,8,199,14,85
2022-01-01,8,144,9,103
2022-01-01,8,220,10,52
2022-01-01,8,128,7,117
2022-01-01,8,4,1,115
2022-01-01,8,2,13,64
2022-01-01,8,285,14,89
2022-01-01,9,11,15,148
2022-01-01,9,45,5,69
2022-01-01,9,92,13,119
2022-01-01,9,18,3,51
2022-01-01,9,190,12,148
2022-01-01,9,141,5,121
2022-01-01,9,244,12,83
2022-01-01,9,98,4,122
2022-01-01,9,2,13,36
2022-01-01,9,254,6,147
2022-01-01,9,250,6,32
